iteration,f_total,f_smooth,grad_norm,time,sparsity,w_change,gap
0,119667.66859035658,119667.62173358252,101662.1373095723,3.266334533691406e-05,0.0,0.37800822808383666,119648.66409341278
10,40602.26453852375,40601.9761090635,20804.196891981945,0.00031685829162597656,0.0,0.07003796653880871,40583.26004157994
20,23293.393748942617,23292.98778272922,10826.894308762938,0.0005917549133300781,0.0,0.02375248296841675,23274.389251998808
30,17497.21838023936,17496.75825470202,7215.8189170124515,0.0008668899536132812,0.0,0.013265376008630623,17478.21388329555
40,14494.816313448024,14494.326112574952,5637.100319403628,0.0011398792266845703,0.0,0.009401951490273964,14475.811816504214
50,12493.31616756618,12492.807351112831,4797.424087212291,0.001409769058227539,0.0,0.007510005947883266,12474.31167062237
60,10975.515739041,10974.994339059594,4264.409486965038,0.001683950424194336,0.0,0.006369257519127687,10956.511242097191
70,9746.985165437633,9746.454442424409,3877.9044153063237,0.0019519329071044922,0.0,0.0055750695371712825,9727.980668493823
80,8717.26622940081,8716.728626010776,3571.9174446097427,0.002344846725463867,0.0,0.0049690896548857735,8698.261732457
90,7836.432258707245,7835.889093197497,3316.11553426947,0.0026450157165527344,0.0,0.0044799340877968285,7817.427761763435
100,7073.088702682569,7072.540285721692,3094.9727177545305,0.002937793731689453,0.0,0.00407106556703797,7054.08420573876
110,6405.547090365994,6404.993950662197,2899.697398328278,0.0032389163970947266,0.0,0.0037215559346982377,6386.542593422185
120,5817.814876199299,5817.25749000992,2724.8397994942716,0.003515958786010742,0.0,0.003418210003265145,5798.810379255489
130,5297.559173189359,5296.997467926286,2566.748319625611,0.003793954849243164,0.0,0.0031520563096682943,5278.55467624555
140,4834.9676330851435,4834.401985422145,2422.8121729400805,0.0040667057037353516,0.0,0.0029166019881036,4815.963136141334
150,4422.061828038846,4421.492634776171,2291.064122904732,0.004338979721069336,0.0,0.0027069379224605654,4403.057331095037
160,4052.2507347903033,4051.6779248299986,2169.959225561197,0.0046160221099853516,0.0,0.00251921985807852,4033.2462378464943
170,3720.0227158885673,3719.446318643453,2058.2446429251213,0.004888772964477539,0.0,0.0023503658431374605,3701.0182189447582
180,3420.7262407488956,3420.146601002842,1954.8796386117606,0.0051729679107666016,0.0,0.0021978478040493936,3401.7217438050866
190,3150.4069156589762,3149.824321841713,1858.9840309321314,0.005449056625366211,0.0,0.0020595696803743877,3131.402418715167
200,2905.681681732328,2905.096305892418,1769.8033053863044,0.005720853805541992,0.0,0.0019337710165431682,2886.677184788519
210,2683.6404536754326,2683.0524417683673,1686.6840615092449,0.005998849868774414,0.0,0.0018189620613481567,2664.6359567316235
