iteration,f_total,f_smooth,grad_norm,time,sparsity,w_change,gap
0,119667.66859035658,119667.62173358252,101662.1373095723,2.6941299438476562e-05,0.0,0.37800822808383666,119648.66409341278
10,21599.197718646225,21598.65525197154,12762.633550310482,0.00030112266540527344,0.0,0.08162157734077366,21580.193221702415
20,11999.840980130659,11999.232676971114,7332.515055311279,0.0005679130554199219,0.0,0.033334609877656865,11980.83648318685
30,6450.51980054465,6449.95263093264,4042.7440213133104,0.0008409023284912109,0.0,0.021092061469331756,6431.5153036008405
40,3909.4750260516425,3908.8889530103943,2422.6870842550215,0.001107931137084961,0.0,0.01346609742435685,3890.4705291078335
50,2553.3175440873692,2552.7144605898475,1674.4695077223473,0.0013837814331054688,0.0,0.009300707486513944,2534.31304714356
60,1756.2111480294013,1755.5989322783407,1299.7427412463408,0.0016529560089111328,0.0,0.006807390958533323,1737.206651085592
70,1241.875055065813,1241.2565768050642,1044.8711309180233,0.0019199848175048828,0.0,0.00525783149634898,1222.8705581220038
80,898.622780515096,898.0007418727754,862.709529140946,0.0021898746490478516,0.0,0.004166240015452617,879.6182835712868
90,662.6434550739342,662.0189687553953,721.9466121941315,0.0024559497833251953,0.0,0.0033716049278727012,643.638958130125
100,496.72516274465454,496.09914256425816,610.6984242959533,0.0027229785919189453,0.0,0.0027720783895939095,477.7206658008453
110,377.86834567788924,377.24169612020626,520.7130883438797,0.002989053726196289,0.0,0.002308625719867348,358.86384873408
120,291.39541046999256,290.7687256730711,447.0130324062049,0.0032548904418945312,0.0,0.0019429933452222506,272.39091352618334
130,227.63894782060876,227.0124868891064,385.9733540289392,0.003531932830810547,0.0,0.0016498053145206505,208.63445087679958
140,180.085052176753,179.4589437327391,334.9802634296868,0.0037980079650878906,0.0,0.0014115141639095068,161.08055523294382
150,144.2519919049783,143.6263985784913,292.048965234129,0.004067897796630859,0.0,0.0012156136928448682,125.24749496116911
160,117.00444096462806,116.37951825912572,255.65911134964114,0.004333019256591797,0.0,0.0010529396560740507,97.99994402081887
170,96.11611021099495,95.49199803471468,224.62433562901367,0.0046007633209228516,0.0,0.0009166630899234108,77.11161326718576
180,79.98543114676963,79.36218036039409,198.0093139054215,0.004869937896728516,0.0,0.0008016085127095531,60.980934202960434
190,67.44647524041318,66.82411659943836,175.068765216823,0.00515294075012207,0.0,0.0007037926952489969,48.441978296603985
200,57.64138401367471,57.01993009656144,155.20359545260257,0.005423784255981445,0.0,0.0006201115952924601,38.636887069865516
210,49.93279368074154,49.312240337509024,137.928311638431,0.005688667297363281,0.0,0.0005481177974084924,30.928296736932346
