iteration,f_total,f_smooth,grad_norm,time,sparsity,w_change,gap
0,119667.6649244272,119667.61806757876,101662.1373095723,2.8133392333984375e-05,0.0,0.3780086889913197,119648.6604274834
10,21599.15708409383,21598.614618594052,12762.62331712827,0.0003120899200439453,0.0,0.08162146673196716,21580.15258715002
20,11999.782315273442,11999.17401434012,7332.509499307794,0.0005769729614257812,0.0,0.03333460244767425,11980.777818329632
30,6450.517235567948,6449.950069217193,4042.7298461957366,0.0009331703186035156,0.0,0.021092064114963376,6431.512738624138
40,3909.4747163519232,3908.8886474379888,2422.674604999884,0.0012500286102294922,0.0,0.013466075893011322,3890.470219408114
50,2553.31563016243,2552.712552111956,1674.4638584429158,0.0015342235565185547,0.0,0.00930068606790061,2534.311133218621
60,1756.2079317249718,1755.5957226895628,1299.735228275132,0.0017962455749511719,0.0,0.006807378181815196,1737.2034347811625
70,1241.870894859141,1241.252424484704,1044.866442322557,0.0020630359649658203,0.0,0.005257822753355319,1222.8663979153316
80,898.6180641654662,897.9960344506342,862.7056717202371,0.0023300647735595703,0.0,0.004166235981990559,879.613567221657
90,662.638171095189,662.0136945683257,721.944573871076,0.002590179443359375,0.0,0.0033716039833342486,643.6336741513799
100,496.7192786567067,496.0932693437662,610.6982739030876,0.002850055694580078,0.0,0.002772080986194143,477.7147817128975
110,377.8618775116798,377.2352399889222,520.7145962515946,0.0031092166900634766,0.0,0.0023086337242848197,358.85738056787056
120,291.3883579910926,290.7616863348263,447.01649848144666,0.0033681392669677734,0.0,0.001943006147425783,272.3838610472834
130,227.63137536078185,227.00492813115812,385.9763576274746,0.0036270618438720703,0.0,0.0016498196805754617,208.62687841697266
140,180.0771367494631,179.45104269126801,334.98376822117854,0.0038862228393554688,0.0,0.0014115286330028622,161.07263980565392
150,144.2438829245038,143.61830469761594,292.0532943443591,0.004145145416259766,0.0,0.0012156291901148598,125.2393859806946
160,116.99622745580962,116.37132067885724,255.6648268709674,0.004405975341796875,0.0,0.0010529570864509104,97.99173051200043
170,96.107851818287,95.48375616585952,224.63059364328768,0.0046651363372802734,0.0,0.0009166831074958462,77.10335487447782
180,79.97720255187801,79.35396903204497,198.01645270695266,0.004923105239868164,0.0,0.0008016297079321536,60.972705608068814
190,67.43834989817758,66.81600923730088,175.07615341226395,0.005181312561035156,0.0,0.0007038144308558794,48.43385295436838
200,57.633428349661536,57.01199291508323,155.21135850004484,0.005434274673461914,0.0,0.0006201337745439493,38.62893140585234
210,49.92506056501581,49.304525980975406,137.9363949677116,0.005694150924682617,0.0,0.0005481402143492182,30.920563621206618
220,43.835473528861705,43.21580449669627,122.85450130720038,0.005953073501586914,0.0,0.0004858834702554037,24.83097658505251
230,39.00356809511322,38.38470598117614,109.63935365583248,0.006213188171386719,0.0,0.0004317956067851725,19.99907115130403
240,35.15432870306786,34.53622809772317,98.02390761348315,0.006472349166870117,0.0,0.0003846092226775368,16.149831759258667
