iteration,f_total,f_smooth,grad_norm,time,sparsity,w_change,gap
0,119667.69756273633,119667.65070606212,101662.1373095723,2.5987625122070312e-05,0.0,0.37800728345292123,119648.69306579253
10,31072.63919035337,31072.288162449477,15211.11873842822,0.0003058910369873047,0.0,0.10349468361905029,31053.63469340956
20,14486.181594789638,14485.64358761119,6139.579046328291,0.0005888938903808594,0.0,0.03369262149613727,14467.177097845828
30,8647.349206200179,8646.783816911993,3926.09660314334,0.000865936279296875,0.0,0.025717209072435993,8628.34470925637
40,4762.897570264701,4762.316943251921,2575.18339225241,0.0011420249938964844,0.0,0.02161384314509352,4743.893073320892
50,2439.438478127984,2438.8253832472683,1704.9028624940288,0.0014190673828125,0.0,0.017061736047419174,2420.433981184175
60,1203.4312691015054,1202.7898309187785,1146.0951857937903,0.0016961097717285156,0.0,0.013046402702064643,1184.4267721576962
70,593.1288055845323,592.4697631582114,865.8521182418975,0.0019788742065429688,0.0,0.009930395189125765,574.1243086407231
80,300.6075808066407,299.9402084102857,606.0892048428635,0.0022559165954589844,0.0,0.007600340890503267,281.6030838628315
90,195.8716634407913,195.20118609678553,506.53845605333396,0.002532958984375,0.0,0.005708716272105281,176.86716649698212
100,166.1866105320653,165.512322263635,467.9922051362794,0.0028100013732910156,0.0,0.0042624364553464885,147.1821135882561
110,149.1218407007268,148.44726302007865,423.2764203531914,0.003084897994995117,0.0,0.0033046136299161115,130.11734375691762
120,127.86617471006218,127.19710293721388,369.21501896903425,0.003359079360961914,0.0,0.0027589100990373663,108.861677766253
130,105.49556971861114,104.8313055238219,311.659247442954,0.0036559104919433594,0.0,0.0024508261991037176,86.49107277480195
140,87.316231104116,86.65669254221066,275.71527856902014,0.0040090084075927734,0.0,0.00222520423457035,68.3117341603068
150,72.78725612539505,72.13388181454846,242.40516300223905,0.004297018051147461,0.0,0.002047771388844352,53.78275918158585
160,61.68695942336316,61.04011028725125,214.35716806950387,0.004578828811645508,0.0,0.0018894939229614854,42.68246247955397
170,53.8003209962197,53.159746757687266,192.63904750434662,0.004854917526245117,0.0,0.0017315339565524349,34.79582405241051
180,48.08089694577978,47.44715084866746,178.68496977707682,0.005132198333740234,0.0,0.0015805986520911679,29.076400001970583
190,43.10806295984334,42.480705867066064,164.37012370568814,0.005408048629760742,0.0,0.0014586787410819674,24.103566016034144
200,38.48906341106169,37.86518513141826,148.21421463451827,0.005697011947631836,0.0,0.001364998943263447,19.4845664672525
