algorithm,column,f_total,f_ref,gap,sparsity,time
A1-Prox-NAG,7,18.792772897847676,18.792760336240008,1.2561607668715169e-05,0.0,0.02572798728942871
A1-Prox-NAG,8,18.72775936565494,18.727747028042796,1.233761214436413e-05,0.0,0.028849124908447266
A1-Prox-NAG,9,19.062043746640253,19.06203059355422,1.315308603366816e-05,0.0,0.025348901748657227
A1-Prox-NAG,10,19.0921113195043,19.09209825158047,1.3067923831044936e-05,0.0,0.02811121940612793
A1-Prox-NAG,11,18.369711657821437,18.369698746959155,1.2910862281501068e-05,0.0,0.027351856231689453
A1-Prox-NAG,12,18.59894868177676,18.598935960174245,1.272160251630794e-05,0.0,0.026590824127197266
A1-Prox-NAG,13,18.208474181535863,18.2084610431451,1.313839076289014e-05,0.0,0.026449918746948242
A1-Prox-NAG,14,18.95238938778272,18.952376995066675,1.2392716044473673e-05,0.0,0.025892019271850586
A1-Prox-NAG,15,17.219151227570702,17.21913866596245,1.2561608251360212e-05,0.0,0.026163816452026367
A1-Prox-NAG,16,18.218095000091115,18.218083346149037,1.1653942078027058e-05,0.0,0.026102781295776367
A1-Prox-NAG,17,19.222078121710542,19.22206433723902,1.378447152333706e-05,0.0,0.02774977684020996
A1-Prox-NAG,18,17.28718592672727,17.287173672727203,1.2254000065325954e-05,0.0,0.02619004249572754
A1-Prox-NAG,19,17.828640858505388,17.828629786478647,1.1072026740777119e-05,0.0,0.026088237762451172
A1-Prox-NAG,20,18.300264069940198,18.300250999418036,1.3070522161484632e-05,0.0,0.02672100067138672
A1-Prox-NAG,21,17.789338916208767,17.789326167675526,1.2748533240625193e-05,0.0,0.025842905044555664
A1-Prox-NAG,22,19.431539572641,19.431526897523515,1.2675117485372311e-05,0.0,0.025842905044555664
A1-Prox-NAG,23,18.65965861485036,18.659646185434703,1.2429415658488097e-05,0.0,0.027053117752075195
A1-Prox-NAG,24,19.096734089748292,19.096721708413234,1.2381335057654042e-05,0.0,0.025817155838012695
A1-Prox-NAG,25,18.490047464971106,18.49003462060811,1.2844362995423353e-05,0.0,0.027518749237060547
A1-Prox-NAG,26,18.604318579240548,18.604306960917885,1.161832266305396e-05,0.0,0.027356863021850586
A1-Prox-NAG,27,19.901723371061266,19.901710917036024,1.2454025242192301e-05,0.0,0.02604198455810547
A1-Prox-NAG,28,18.210297035056687,18.2102843249388,1.2710117886172156e-05,0.0,0.026527881622314453
A1-Prox-NAG,29,17.559542377666762,17.5595299475718,1.2430094962212479e-05,0.0,0.026640892028808594
A1-Prox-NAG,30,18.718828158728364,18.71881434269165,1.3816036712910318e-05,0.0,0.026713848114013672
